size,type,time
1000,v_times_v,0.001228
1000,v_times_m,0.0016454
1000,v_times_v,1.3e-6
1000,v_times_m,0.0015343
1000,v_times_v,1.4e-6
1000,v_times_m,0.0015995
1000,v_times_v,1.2e-6
1000,v_times_m,0.0014461
1000,v_times_v,1.2e-6
1000,v_times_m,0.0016598
1000,v_times_v,1.3e-6
1000,v_times_m,0.0014387
1000,v_times_v,1.2e-6
1000,v_times_m,0.0015412
1000,v_times_v,9.0e-7
1000,v_times_m,0.001468
1000,v_times_v,1.6e-6
1000,v_times_m,0.0016516
1000,v_times_v,1.7e-6
1000,v_times_m,0.0014338
2000,v_times_v,1.9e-6
2000,v_times_m,0.0065952
2000,v_times_v,1.6e-6
2000,v_times_m,0.0068449
2000,v_times_v,2.0e-6
2000,v_times_m,0.0072207
2000,v_times_v,3.2e-6
2000,v_times_m,0.0069155
2000,v_times_v,2.3e-6
2000,v_times_m,0.0068449
2000,v_times_v,1.5e-6
2000,v_times_m,0.0072182
2000,v_times_v,1.9e-6
2000,v_times_m,0.0070248
2000,v_times_v,1.6e-6
2000,v_times_m,0.0071989
2000,v_times_v,1.9e-6
2000,v_times_m,0.006801
2000,v_times_v,1.9e-6
2000,v_times_m,0.0068343
3000,v_times_v,2.1e-6
3000,v_times_m,0.0165541
3000,v_times_v,3.3e-6
3000,v_times_m,0.0188292
3000,v_times_v,2.8e-6
3000,v_times_m,0.0163657
3000,v_times_v,7.3e-6
3000,v_times_m,0.0175679
3000,v_times_v,2.6e-6
3000,v_times_m,0.0182189
3000,v_times_v,1.8e-6
3000,v_times_m,0.0173576
3000,v_times_v,2.7e-6
3000,v_times_m,0.0172997
3000,v_times_v,3.1e-6
3000,v_times_m,0.0166787
3000,v_times_v,3.7e-6
3000,v_times_m,0.0176263
3000,v_times_v,2.8e-6
3000,v_times_m,0.0179629
4000,v_times_v,3.8e-6
4000,v_times_m,0.0341408
4000,v_times_v,5.4e-6
4000,v_times_m,0.030218
4000,v_times_v,4.0e-6
4000,v_times_m,0.0331216
4000,v_times_v,3.2e-6
4000,v_times_m,0.0329889
4000,v_times_v,2.6e-6
4000,v_times_m,0.0300426
4000,v_times_v,3.3e-6
4000,v_times_m,0.0314481
4000,v_times_v,2.4e-6
4000,v_times_m,0.0304521
4000,v_times_v,2.2e-6
4000,v_times_m,0.0307689
4000,v_times_v,2.6e-6
4000,v_times_m,0.0297459
4000,v_times_v,2.1e-6
4000,v_times_m,0.0290633
5000,v_times_v,3.3e-6
